login,collab_breadth,5yr_public_commits,5yr_private_work,5yr_reviews_given,5yr_prs_opened
SIDGEY,1,25,0,0,9
SIMONSTER123,0,3,0,0,4
SIMRAN15KHEHRA,0,9,0,0,7
SIRXIII,0,2,0,0,1
SIUL667766,0,0,0,0,1
SJPhyonix,0,27,0,0,1
SJun99,2,44,0,0,6
SKIIZZLES,0,3,0,0,1
SKLemon,0,166,0,0,8
SKULLFIRE07,74,105,6,0,1
SKay197,0,5,0,0,1
SKbarbon,2,589,0,2,12
SLTesler,0,10,0,0,1
SMANahian,3,350,0,2,80
SMCINNIS94,0,10,0,0,3
SMCallan,2,394,1256,0,19
SMD3353,0,3,0,0,3
SMG3zx,0,19,385,0,1
SMOBIT,1,244,0,0,32
SMajerovic,0,30,0,1,6
SMalone16,0,140,0,0,74
SMaundu,0,79,0,0,1
SMentasti,2,93,347,0,1
SMinginf,0,79,0,0,8
SNAKE0211,0,0,0,0,1
SNIARhuynh,0,4,0,0,1
SNLabat,1,0,0,0,0
SNP007Flip,0,0,0,0,0
SNTSyad,0,2,0,0,1
SNico-SL-bi,0,12,0,1,1
SNikSY,0,239,0,0,4
SONGS4RI,1,1546,180,88,129
SORA112117,0,3,0,0,1
SORENMUSIC,0,34,0,0,1
SP3kz,0,61,0,0,5
SPINDUX,0,0,0,0,12
SPIRY-RO,3,485,3198,1,11
SPRAGE,2,232,1198,0,32
SPalacioAhun,0,213,312,0,3
SPehlivanovDS,0,6,0,0,2
SQZ777,1,498,17,0,60
SREERAM-YASHASVI,0,0,0,0,0
SRIRAM6369791334,0,5,0,0,4
SRLib-hoby,0,1,0,0,1
SRValeev,0,44,0,0,2
SRam3,0,217,2072,2,38
SRodriguezBottero,0,75,0,1,16
SRshohan,0,593,791,12,76
SSKG2602,0,69,0,0,5
SSKITMan,0,0,0,0,1
SSKirillSS,12,2067,213,1,8
SSLRI,0,181,0,0,6
SSSS-q,0,0,0,0,3
SSSTAiNLESSS,1,11,0,0,6
SSchryba,2,0,0,0,2
SStan-prog,2,75,0,0,16
STEP3DLab,0,1301,0,0,439
STJFirmaer,0,0,0,0,0
STPCCI,1,0,0,0,19
STProgrammer,0,137,0,0,10
STRHercules,2,419,0,0,55
STRMZR,0,0,0,0,1
STZerok,1,34,0,0,1
